,title,parental_rating,rating_count,rating_value,year,runtime,budget,wwgross,bechdel_test,female_face_ratio
tt0381061,Casino Royale,PG-13,548466,8.0,2006,144,150000000,609447995,1,0.26016416899538697
tt0384793,Accepted,PG-13,117939,6.4,2006,93,23000000,38505009,1,0.324739293113942
tt0277434,We Were Soldiers,R,123513,7.1,2002,138,75000000,115374915,3,0.29788908729974817
tt0278435,Enough,PG-13,37119,5.7,2002,115,38000000,51801187,NotAvailable,0.42324739881061774
tt2361509,The Intern,PG-13,197793,7.1,2015,121,35000000,194564672,3,0.4952928544681334
tt0472399,The Mechanic,R,143967,6.6,2011,93,40000000,76129642,0,0.2708837791300527
tt0115632,Basquiat,R,18544,6.9,1996,107,3300000,3011195,2,0.2592900601245621
tt0107563,The Meteor Man,PG,7349,5.2,1993,100,30000000,8016708,NotAvailable,0.22111474978647688
tt0167404,The Sixth Sense,PG-13,862858,8.1,1999,107,40000000,672806292,3,0.3221685152827004
tt0780536,In Bruges,R,370479,7.9,2008,107,15000000,33394440,1,0.2827003296397516
tt0264616,Frailty,R,72595,7.2,2001,100,11000000,17423030,NotAvailable,0.24743899514216575
tt0105219,Rapid Fire,R,7777,6.3,1992,95,10000000,14356479,NotAvailable,0.20462474411764706
tt0800369,Thor,PG-13,703585,7.0,2011,115,150000000,449326618,3,0.3183689195960833
tt0371246,Spanglish,PG-13,74887,6.4,2004,131,80000000,55041367,3,0.4695841281784088
tt1392197,Marmaduke,PG,13568,4.2,2010,87,50000000,83761844,NotAvailable,0.3851375987244582
tt0452694,The Time Traveler's Wife,PG-13,134834,7.1,2009,107,39000000,101344412,3,0.35973925284143765
tt1410063,Jin ling shi san chai,R,46662,7.6,2011,146,94000000,2855644,3,0.437312146100183
tt0164114,Drive Me Crazy,PG-13,17309,5.8,1999,91,8500000,22593409,NotAvailable,0.3719397124586442
tt6663582,The Spy Who Dumped Me,R,57206,6.0,2018,117,40000000,75320680,3,0.5924999402856205
tt1741273,Secret in Their Eyes,PG-13,38837,6.3,2015,111,19500000,34854990,NotAvailable,0.4552087610981964
tt1615160,The Foreigner,R,86254,7.0,2017,113,35000000,145374099,1,0.37195052602575895
tt0144117,The Boondock Saints,R,219638,7.8,1999,108,6000000,30471,0,0.23509026538035965
tt3077214,Suffragette,PG-13,35186,6.9,2015,106,14000000,16002420,3,0.4549340578395954
tt0096945,Blind Fury,R,13675,6.4,1989,86,10000000,2692037,NotAvailable,0.24182864821917804
tt0111161,The Shawshank Redemption,R,2163587,9.3,1994,142,25000000,28784198,0,0.16759611294868387
tt0913354,Armored,PG-13,28933,5.7,2009,88,20000000,22942221,0,0.2367031773712256
tt1217613,Battle Los Angeles,PG-13,168804,5.7,2011,116,70000000,211819354,1,0.30059683666069825
tt1276104,Looper,R,509616,7.4,2012,113,30000000,176506819,1,0.3247780837444374
tt0107554,Menace II Society,R,47890,7.5,1993,97,3500000,27912072,NotAvailable,0.2493572687008905
tt0112541,Blue in the Face,R,8642,6.7,1995,83,2000000,1268636,NotAvailable,0.25124002567831283
tt0327679,Ella Enchanted,PG,58445,6.2,2004,96,31000000,27388767,3,0.41050616543193374
tt0103776,Batman Returns,PG-13,259216,7.0,1992,126,80000000,266903053,0,0.3013606366630117
tt1564585,Skyline,PG-13,84470,4.4,2010,92,10000000,66821036,3,0.3545446060470325
tt2165735,Du zhan,R,8763,7.0,2012,107,15862582,24676341,NotAvailable,0.27736871191044776
tt1560747,The Master,R,137598,7.2,2012,138,32000000,28258060,1,0.303180343442492
tt0970416,The Day the Earth Stood Still,PG-13,157920,5.5,2008,104,80000000,233093859,3,0.3502713537440192
tt0204946,Bring It On,PG-13,82674,6.0,2000,98,11000000,90449929,3,0.4291459578420311
tt0107254,Jason Goes to Hell: The Final Friday,R,26045,4.3,1993,87,3000000,15935068,NotAvailable,0.2674248463932584
tt1855325,Resident Evil: Retribution,R,127209,5.4,2012,95,65000000,240159255,3,0.468235596463964
tt1536048,W.E.,R,11479,6.3,2011,119,15000000,868439,3,0.3920386509904913
tt0145734,Playing by Heart,R,18050,7.0,1998,121,20000000,3970078,NotAvailable,0.3144930486756591
tt4971344,Les frères Sisters,R,40638,7.0,2018,122,38000000,13143056,1,0.3128032725860547
tt0097662,Kill Me Again,R,4162,6.3,1989,94,4000000,283694,NotAvailable,0.27810645363187153
tt0107978,RoboCop 3,PG-13,43492,4.1,1993,104,22000000,10696210,3,0.2735236868924485
tt0097044,Chances Are,PG,10034,6.5,1989,108,16000000,16278590,NotAvailable,0.3055869697163341
tt0196216,Small Time Crooks,PG,35208,6.7,2000,94,25000000,29934477,NotAvailable,0.3789915112883643
tt1355630,If I Stay,PG-13,110064,6.7,2014,107,11000000,78274843,3,0.5920127228287748
tt1274586,Dying of the Light,R,9081,4.4,2014,94,5000000,697847,NotAvailable,0.3292716792201129
tt0151738,Never Been Kissed,PG-13,78953,6.0,1999,107,25000000,84565230,3,0.4148900730910375
tt0191397,The Replacements,PG-13,55466,6.6,2000,118,50000000,50054511,NotAvailable,0.28876879658640586
tt0107302,Kalifornia,R,48593,6.7,1993,117,9000000,2395231,NotAvailable,0.2934016398683457
tt1535438,Hope Springs,PG-13,39185,6.3,2012,100,30000000,114281051,3,0.4100413296670776
tt0099077,Awakenings,PG-13,114823,7.8,1990,121,31000000,52096475,NotAvailable,0.25232269171662824
tt5052448,Get Out,R,430962,7.7,2017,104,4500000,255413717,3,0.4685125304490741
tt0236348,Josie and the Pussycats,PG-13,20779,5.4,2001,98,39000000,14866015,3,0.4412689571446864
tt0105128,Pet Sematary II,R,18092,4.9,1992,100,8000000,17092453,NotAvailable,0.28087799510067113
tt1424381,Predators,R,203377,6.4,2010,107,40000000,127233108,0,0.2693295791225416
tt0106489,A Bronx Tale,R,119532,7.8,1993,121,22000000,17287898,NotAvailable,0.22923328369968665
tt0266465,A Man Apart,R,42942,6.1,2003,109,36000000,44350926,NotAvailable,0.20385988586813186
tt0416508,Becoming Jane,PG,55497,7.1,2007,120,16500000,37311672,3,0.4200723423875066
tt5834262,Hotel Artemis,R,35397,6.1,2018,94,15000000,13313581,NotAvailable,0.4039363815951595
tt3460252,The Hateful Eight,R,465317,7.8,2015,168,44000000,155760117,3,0.3804544281108434
tt1126590,Big Eyes,PG-13,79760,7.0,2014,106,10000000,29253166,3,0.5411496111140972
tt2305051,Wild,R,112766,7.1,2014,115,15000000,52501541,3,0.6032500262361624
tt0277296,The Scorpion King,PG-13,125070,5.5,2002,92,60000000,167164779,0,0.2977574627829181
tt3741834,Lion,PG-13,189568,8.0,2016,118,12000000,140312928,2,0.4764075172589792
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,978148,8.0,2003,143,140000000,654264015,3,0.293974734137031
tt1709143,The Last Days on Mars,R,33780,5.5,2013,98,11370134,187191,NotAvailable,0.3372807016194332
tt1308729,Bullet to the Head,R,45516,5.7,2012,92,55000000,21947209,0,0.30081891672552163
tt0374536,Bewitched,PG-13,66270,4.8,2005,102,85000000,131426169,3,0.36063249201372993
tt0116629,Independence Day,PG-13,504576,7.0,1996,145,75000000,817400891,3,0.2213295539080068
tt0107151,The House of the Spirits,R,19826,6.9,1993,140,40000000,6265311,3,0.29157485942046124
tt0440963,The Bourne Ultimatum,PG-13,585589,8.0,2007,115,110000000,442824138,2,0.2782828233333333
tt0120201,Starship Troopers,R,255117,7.2,1997,129,105000000,121214377,3,0.2867652648333727
tt0117765,Striptease,R,40756,4.5,1996,115,40000000,113309743,3,0.29380061031509697
tt2057392,Eye in the Sky,R,74063,7.3,2015,102,13000000,35259653,3,0.4165140341535226
