ne_id,name,iso_a2,coordonnees
1159127243,Vatican City,VA,"41.90001222640, 12.44780838890"
1159146051,San Marino,SM,"43.91715008450, 12.46667028670"
1159146061,Vaduz,LI,"47.13372377430, 9.51666947291"
1159146343,Lobamba,SZ,"-26.46666746140, 31.19999710970"
1159146437,Luxembourg,LU,"49.61166037910, 6.13000280623"
1159149061,Palikir,FM,"6.91664369601, 158.14997432400"
1159149063,Majuro,MH,"7.10300431122, 171.38000017600"
1159149071,Funafuti,TV,"-8.51665199904, 179.21664709400"
1159149073,Melekeok,PW,"7.48739617298, 134.62654846700"
1159149075,Bir Lehlou,EH,"26.11916668600, -9.65252221825"
1159149077,Monaco,MC,"43.73964568790, 7.40691317347"
1159149079,Tarawa,KI,"1.33818750562, 173.01757082900"
1159149083,Moroni,KM,"-11.70415769570, 43.24024409870"
1159149089,Andorra,AD,"42.50000144350, 1.51648596051"
1159149307,Port-of-Spain,TT,"10.65199708960, -61.51703088540"
1159149385,Kigali,RW,"-1.95359006868, 30.06053177770"
1159149413,Mbabane,SZ,"-26.31665077840, 31.13333451210"
1159149449,Juba,SS,"4.82997519828, 31.58002559280"
1159149457,The Hague,NL,"52.08003684400, 4.26996130231"
1159149461,Ljubljana,SI,"46.05528830880, 14.51496903350"
1159149463,Bratislava,SK,"48.15001833000, 17.11698075220"
1159149469,Doha,QA,"25.28655600890, 51.53296789430"
1159149511,Podgorica,ME,"42.46597251290, 19.26630692410"
1159149593,Sri Jawewardenepura Kotte,LK,"6.90000388481, 79.94999304090"
1159149605,Baguio City,PH,"16.42999066060, 120.56994258500"
1159149731,Dodoma,TZ,"-6.18330605177, 35.75000362010"
1159149737,Bern,CH,"46.91668275870, 7.46697546248"
1159149741,Laayoune,MA,"27.14998231910, -13.20000594220"
1159149757,Pristina,-99,"42.66670961410, 21.16598425160"
1159149847,Roseau,DM,"15.30101564430, -61.38701298180"
1159149869,Djibouti,DJ,"11.59501446430, 43.14800166710"
1159149883,Putrajaya,MY,"2.91401979462, 101.70194698000"
1159149967,Kyoto,JP,"35.02999228820, 135.74999792400"
1159149997,Banjul,GM,"13.45387646030, -16.59170148920"
1159150073,Skopje,MK,"42.00000612290, 21.43346146510"
1159150339,Bridgetown,BB,"13.10200258280, -59.61652673510"
1159150345,Porto-Novo,BJ,"6.48331097302, 2.61662552757"
1159150427,Bujumbura,BI,"-3.37608722037, 29.36000606150"
1159150431,Kingstown,VC,"13.14827882790, -61.21206242030"
1159150433,Castries,LC,"14.00197348930, -61.00000818040"
1159150435,Basseterre,KN,"17.30203045550, -62.71700931970"
1159150443,Port Louis,MU,"-20.16663857140, 57.49999385460"
1159150447,Saint George's,GD,"12.05263340170, -61.74164322610"
1159150451,Manama,BH,"26.23613629050, 50.58305171590"
1159150457,Saint John's,AG,"17.11803651830, -61.85003381510"
1159150469,Montevideo,UY,"-34.85804156620, -56.17105228840"
1159150535,Lomé,TG,"6.13193707166, 1.22275711936"
1159150537,Tunis,TN,"36.80277813620, 10.17967809920"
1159150565,Abu Dhabi,AE,"24.46668357240, 54.36659338260"
1159150567,Ashgabat,TM,"37.94999493310, 58.38329911180"
1159150571,Lusaka,ZM,"-15.41664426790, 28.28332759470"
1159150573,Harare,ZW,"-17.81778969440, 31.04470943070"
1159150577,Dili,TL,"-8.55938840855, 125.57945593200"
1159150579,Port Vila,VU,"-17.73335040400, 168.31664058400"
1159150583,Tegucigalpa,HN,"14.10204490050, -87.21752933930"
1159150585,Georgetown,GY,"6.80197369275, -58.16702864750"
1159150587,Reykjavík,IS,"64.15002361970, -21.95001448720"
1159150589,Port-au-Prince,HT,"18.54102459610, -72.33603458830"
1159150593,Kampala,UG,"0.31665895477, 32.58332352570"
1159150597,Paramaribo,SR,"5.83503012992, -55.16703088540"
1159150605,Niamey,NE,"13.51670595190, 2.11665604514"
1159150609,Dushanbe,TJ,"38.56003521630, 68.77387935270"
1159150621,Asunción,PY,"-25.29640297570, -57.64150516930"
1159150623,Managua,NI,"12.15301658010, -86.26849166030"
1159150625,Freetown,SL,"8.47001141249, -13.23421574040"
1159150645,Islamabad,PK,"33.69999595030, 73.16663447970"
1159150655,Kathmandu,NP,"27.71669191390, 85.31664221080"
1159150659,Bloemfontein,ZA,"-29.11999387740, 26.22991288120"
1159150661,Pretoria,ZA,"-25.70692055380, 28.22942907580"
1159150663,Port Moresby,PG,"-9.46470782587, 147.19250362100"
1159150665,Honiara,SB,"-9.43799429509, 159.94976573400"
1159150667,Panama City,PA,"8.96801719048, -79.53303715180"
1159150673,Rabat,MA,"34.02529909160, -6.83613082013"
