ne_id,pop_max
1159127243,832
1159146051,29579
1159146061,36281
1159146343,9782
1159146437,107260
1159149061,4645
1159149063,25400
1159149071,4749
1159149073,7026
1159149075,500
1159149077,36371
1159149079,28802
1159149083,128698
1159149089,53998
1159149307,294934
1159149385,860000
1159149413,90138
1159149449,111975
1159149457,1406000
1159149461,314807
1159149463,423737
1159149469,1450000
1159149511,145850
1159149593,115826
1159149605,447824
1159149731,218269
1159149737,275329
1159149741,188084
1159149757,465186
1159149847,23336
1159149869,923000
1159149883,67964
1159149967,1805000
1159149997,43094
1159150073,494087
1159150339,191152
1159150345,300000
1159150427,331700
1159150431,49485
1159150433,37963
1159150435,21887
1159150443,595491
1159150447,33734
1159150451,563920
1159150457,35499
1159150469,1513000
1159150535,1452000
1159150537,2412500
1159150565,603492
1159150567,727700
1159150571,1328000
1159150573,1572000
1159150577,234331
1159150579,44040
1159150583,946000
1159150585,264350
1159150587,166212
1159150589,1998000
1159150593,1420000
1159150597,254169
1159150605,915000
1159150609,1086244
1159150621,1870000
1159150623,920000
1159150625,827000
1159150645,780000
1159150655,895000
1159150659,463064
1159150661,1338000
1159150663,283733
1159150665,76328
1159150667,1281000
1159150673,1705000
1159150677,688134
1159150683,1446000
1159150715,1100000
1159150717,734697
1159150719,217000
1159150781,885000
1159150785,268132
1159150799,1576000
1159150803,403339
1159150807,1060000
1159150809,542366
1159150811,742572
1159150813,837000
1159150831,361324
1159150835,1697000
1159150847,1701000
1159150849,1284000
1159150853,1433000
1159150855,937700
1159150863,989000
1159150867,155963
1159150873,620802
1159150875,722526
1159150877,394024
1159150907,646750
1159150909,1024000
1159150913,578156
1159150917,175399
1159150931,854000
1159150943,742144
1159150945,1494000
1159150957,1846000
1159150961,1100000
1159150965,345604
1159150991,754000
1159150993,1355000
1159150997,1494000
1159150999,206499
1159151059,1145000
1159151079,1099000
1159151083,296500
1159151095,224838
1159151109,15220
1159151111,831925
1159151115,1611000
1159151117,895350
1159151119,1102000
1159151123,2122300
1159151127,1466000
1159151133,1590000
1159151141,762000
1159151147,1185000
1159151149,1805000
1159151151,98676
1159151153,208411
1159151161,327700
1159151173,1149000
1159151177,696731
1159151179,930000
1159151187,42620
1159151189,477876
1159151191,33576
1159151195,88219
1159151197,61916
1159151199,368250
1159151201,112927
1159151203,1029300
1159151205,113364
1159151207,227940
1159151209,224300
1159151699,393400
1159151251,4378000
1159151255,3716000
1159151257,1679000
1159151259,2008000
1159151263,1942000
1159151269,2466000
1159151273,2812000
1159151275,4754000
1159151281,835000
1159151299,1707000
1159151303,3300000
1159151305,2930000
1159151309,1059000
1159151311,1041000
1159151317,1448000
1159151347,2174000
1159151359,1162000
1159151361,2063000
1159151401,2154000
1159151403,2121000
1159151415,2189000
1159151417,3112000
1159151419,1115000
1159151437,1085000
1159151439,3802000
1159151443,3716996
1159151465,1743000
1159151467,12797394
1159151469,5172900
1159151471,3354000
1159151477,4088000
1159151479,3450000
1159151483,2313000
1159151485,4459000
1159151487,5585000
1159151489,4506000
1159151491,8990000
1159151493,2985000
1159151495,2709000
1159151497,1379000
1159151501,2184000
1159151503,5567000
1159151505,1240000
1159151507,1264000
1159151509,6704000
1159151511,8012000
1159151513,2604000
1159151515,3435000
1159151519,1031000
1159151521,3181000
1159151523,9796000
1159151525,11100000
1159151527,3712000
1159151529,3406000
1159151531,2151000
1159151533,4123000
1159151537,11294000
1159151539,7843000
1159151541,317797
1159151543,6787000
1159151545,3242000
1159151547,5054000
1159151549,3100000
1159151551,7873000
1159151555,2313328
1159151557,5213000
1159151559,12795000
1159151561,3277000
1159151563,2400000
1159151565,4170000
1159151567,6900273
1159151703,1377200
1159151569,12500000
1159151573,4338000
1159151575,19040000
1159151577,8567000
1159151579,10061000
1159151581,4465000
1159151583,3215000
1159151585,10452000
1159151587,19028000
1159151591,9466000
1159151593,3339000
1159151595,11106000
1159151597,3010000
1159151599,9125000
1159151601,7772000
1159151603,11893000
1159151605,14987000
1159151609,35676000
1159151611,18978000
1159151613,9904000
1159151615,5720000
1159151617,14787000
1159151619,11748000
1159151621,18845000
1159151623,4630000
1159151627,5183700
1159151629,7206000
